Stock,Price,Volume
TSLA,2199.7372735020726,45149
META,2753.174670506125,5602
AAPL,2049.712704980007,99497
AMZN,620.4431551098545,54160
AMZN,1318.2297944291258,90032
AMZN,892.3362411716477,28612
MSFT,295.5719324608591,90380
AMZN,2494.7775276626744,96231
META,1096.2383894395325,80329
GOOGL,1601.2207432546884,21101
TSLA,1772.4111123827536,6725
AAPL,2770.172457366023,82862
AAPL,390.88906835757916,8125
TSLA,2920.016308507679,19920
GOOGL,1393.4573094966906,29814
MSFT,1606.632336297543,9374
AAPL,2975.2518120076356,82954
MSFT,609.6967213354842,45972
META,2232.3048139426255,85655
MSFT,2080.872815548164,23176
META,750.0694862663186,3779
AAPL,2902.1496880178006,74868
MSFT,206.09017350143841,42535
TSLA,2015.7466091691003,20919
AMZN,2633.2917416332293,51251
AAPL,1261.0180446954773,76259
AMZN,1385.407863137506,2440
META,290.66391116788316,56105
AAPL,863.5415718156651,59702
GOOGL,2178.143064337389,45841
AMZN,2948.668764072259,65315
AAPL,1100.5626199380158,72931
MSFT,529.5774202433004,33741
AMZN,369.39586513528945,74217
META,623.071935086588,95227
AMZN,422.0168337366177,33139
AMZN,2506.539358148306,6764
AAPL,1211.9219700134224,71409
MSFT,1254.018765926959,87811
MSFT,2546.606279975495,65335
MSFT,2251.9098472932933,46761
AAPL,1628.1328833256937,35376
GOOGL,1549.9696890279256,42702
TSLA,2120.132188535178,92860
AMZN,1803.3447798479046,39651
AMZN,646.6222017366972,69864
GOOGL,464.73095734641754,70911
TSLA,1276.9360397770538,91449
GOOGL,1532.8354494955404,18009
AAPL,338.39424566340114,18608
AAPL,1653.423373999451,36849
TSLA,2906.3666531566973,63811
META,2124.7846243616314,10586
META,513.4536749128458,79002
AAPL,1751.7773479291673,74638
TSLA,2432.8221336291717,90375
MSFT,1096.615827769971,15727
TSLA,1343.9068182230885,38885
MSFT,106.54513393419933,69845
GOOGL,2621.694475260454,60519
GOOGL,1463.5311645590032,9126
AAPL,835.2851164481067,60955
MSFT,673.0608303568379,28051
MSFT,1338.8343007837395,91029
MSFT,747.999113688198,57281
MSFT,2700.6583392741027,7704
AMZN,757.5468877095379,68045
AMZN,1267.0601065981202,98998
GOOGL,508.27257782092863,14093
AMZN,444.69945870965427,81304
AAPL,789.4205784794859,96448
AMZN,108.61961003311954,65963
META,1836.0381495135232,99794
TSLA,744.6174848858815,47635
MSFT,1351.294202406634,47778
GOOGL,2445.023846177957,82488
TSLA,1305.7677235336682,82542
AMZN,2318.7919238138184,47660
TSLA,2165.1144227217833,43654
TSLA,2598.730111166888,45540
TSLA,1250.048622320194,32063
AMZN,2253.9401823904795,27294
TSLA,1733.1002397621862,99681
TSLA,1610.4713975173202,10916
TSLA,880.3663286770872,92329
AAPL,1574.686822943509,44378
TSLA,258.47611169824506,2832
AMZN,434.8210438599416,11631
GOOGL,1484.8035484541563,50481
META,966.1156678048023,86886
META,2719.6705477421497,55258
META,2866.071552417197,64725
AAPL,2648.351374922286,7024
MSFT,219.73827972364074,69892
META,2476.0880167636255,68088
MSFT,1434.561657744729,96764
AMZN,236.08022665504163,35211
AAPL,442.17061792308954,55075
META,2403.965028782955,74210
AAPL,1503.4789453381266,25040
MSFT,1810.9102636483651,79057
GOOGL,158.99586814268343,13751
TSLA,207.5293740432945,18006
GOOGL,1342.0267195148979,7499
AAPL,1564.0555743908412,11145
META,560.845016837967,6452
AMZN,1177.5833954496302,78666
GOOGL,110.47515840132002,40301
GOOGL,486.7055173416807,6023
META,172.48328204211566,99263
AAPL,2652.8213271051686,54298
META,277.999972185061,72756
MSFT,1725.6446640406484,65192
AAPL,1797.0781119781686,7170
GOOGL,112.78813239264336,65599
GOOGL,1875.5705245727304,14326
AMZN,2559.034683289089,45623
GOOGL,1773.6356811570681,99888
AMZN,638.3353317512667,72843
GOOGL,1696.856327038129,73573
MSFT,2123.5712922184744,99583
GOOGL,2083.9097745979516,85683
AMZN,1875.1426026918055,19539
AMZN,1209.4712593645738,51053
AMZN,452.10187928954986,32490
GOOGL,307.04468398422284,63644
AMZN,1873.3679432983072,94457
TSLA,1151.324319686671,88268
MSFT,105.9645939416203,8111
GOOGL,533.3133828215425,23625
AMZN,2124.121071548969,52871
MSFT,2298.54538732741,47620
GOOGL,1790.1651977092838,30579
MSFT,1854.599838477825,76387
TSLA,893.8923159288462,9055
GOOGL,1516.808139153765,94931
AMZN,2820.1625232398696,10076
AAPL,1215.8833477844005,44675
AMZN,1868.9277004276164,3135
GOOGL,1159.3368697570158,15831
AMZN,1404.5562917576153,32956
AAPL,2370.2668392537485,52646
AAPL,1236.8895336321798,94692
AAPL,1368.7177284653214,79435
AMZN,932.6421992604999,71906
GOOGL,2484.537525248609,81608
AMZN,978.9542525953494,25956
AAPL,2219.7369003139106,16619
TSLA,2789.9898241775436,86153
AAPL,2329.11020042375,34254
META,2622.019722345366,89039
AAPL,511.03786961489124,23843
META,1267.4475578530614,64550
GOOGL,174.3417431322733,71172
AMZN,1615.5898224756793,29787
GOOGL,2996.303651442389,51905
AMZN,1661.63044400216,44194
META,2598.857232561238,32258
AAPL,2970.4718658382467,65987
AAPL,1061.131273488133,47146
AAPL,1341.6176648336248,86651
AMZN,1685.624005094037,83649
AAPL,2217.7933222503084,44995
GOOGL,1578.3388967519236,19956
GOOGL,635.7980919590074,74199
AAPL,1556.5974755650398,37733
TSLA,2191.514066119651,7059
AMZN,2283.979514276612,26924
TSLA,1314.9032417916737,55277
META,1863.7900212711434,67102
AAPL,2980.330372124677,67964
TSLA,1081.8146529697563,11045
AMZN,421.42950996984297,39555
META,509.22766452593777,65899
AMZN,2442.459248153227,97448
TSLA,1951.9458225755714,46154
META,1163.1674037924258,60761
